family	galga	gasac	ornan	oryla	homsa	sacce	cioin	hydma	nemve	pedhu	ampqu	drome	anoca	musmu	apime	mondo	anoga	danre	loxaf	ciosa	tetni
ORTHOMCL389	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL382	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL383	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	2	0	1	1	0	1
ORTHOMCL380	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL381	1	1	1	2	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1
ORTHOMCL386	0	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	2	1	0	1
ORTHOMCL387	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL384	1	1	0	2	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL385	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1
ORTHOMCL474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ORTHOMCL475	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
ORTHOMCL477	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ORTHOMCL470	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1
ORTHOMCL471	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1
ORTHOMCL472	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1
ORTHOMCL473	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0
ORTHOMCL478	0	2	0	1	1	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1
ORTHOMCL479	0	2	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1
ORTHOMCL1069	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
ORTHOMCL1068	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
ORTHOMCL1063	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
ORTHOMCL1062	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
ORTHOMCL1061	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
ORTHOMCL1060	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
ORTHOMCL1067	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
ORTHOMCL1066	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
ORTHOMCL1065	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0
ORTHOMCL1064	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
ORTHOMCL28	2	2	0	2	2	0	1	0	0	3	0	3	2	2	3	1	4	2	2	0	3
ORTHOMCL29	0	3	0	4	2	0	1	1	2	1	0	1	2	2	2	2	1	3	2	1	4
ORTHOMCL22	1	2	1	4	3	0	1	0	1	1	0	1	2	3	1	3	1	3	2	1	5
ORTHOMCL23	2	3	2	3	2	0	1	1	2	1	0	1	2	2	1	2	1	4	2	0	4
ORTHOMCL20	3	3	2	2	2	1	1	1	1	1	1	1	3	3	1	2	1	3	3	1	2
ORTHOMCL21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0
ORTHOMCL26	2	2	2	3	2	0	2	1	1	1	1	1	2	2	1	2	1	3	2	1	3
ORTHOMCL27	0	5	1	4	3	0	0	0	1	1	0	1	1	3	1	3	1	3	2	0	4
ORTHOMCL24	2	3	1	3	2	0	1	1	0	1	0	1	3	3	1	3	1	3	3	1	3
ORTHOMCL25	3	2	2	2	2	0	2	0	1	1	2	1	3	3	1	2	1	2	3	0	2
ORTHOMCL278	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	0	1
ORTHOMCL279	1	1	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1
ORTHOMCL276	0	1	1	1	1	0	0	0	1	0	4	0	1	1	0	1	0	1	1	0	1
ORTHOMCL277	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	0
ORTHOMCL274	1	1	2	1	1	0	0	0	0	0	0	0	1	2	0	2	0	1	2	0	1
ORTHOMCL275	0	1	1	0	1	0	2	0	3	0	0	0	1	1	0	1	0	1	1	1	1
ORTHOMCL272	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1
ORTHOMCL273	1	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2
